field_1, field_2,W01000558,W01000559,W01000560,W01000561,W01000613,W01000562,W01000565,W01000566,W01000567,W01000597,W01000617,W01000579,W01000581,W01000612,W01000618,W01000582,W01000583,W01000611,W01000623,W01000568,W01000569,W01000570,W01000572,W01000571,W01000573,W01000586,W01000577,W01000585,W01000595,W01000596,W01000555,W01000556,W01000575,W01000614,W01000622,W01000554,W01000580,W01000598,W01000599,W01000587,W01000588,W01000593,W01000553,W01000563,W01000564,W01000576,W01000615,W01000616,W01000589,W01000590,W01000591,W01000592,W01000594,W01000600,W01000601,W01000602,W01000603,W01000604,W01000605,W01000557,W01000578,W01000584,W01000609,W01000574,W01000606,W01000607,W01000608,W01000610,W01000619,W01000620,W01000621
Pembrokeshire 011C,W01000564,0,0,0,2,1,1,2,2,2,1,0,2,0,3,3,0,0,5,1,14,0,0,13,7,9,1,2,8,5,9,2,1,1,0,2,0,0,2,3,2,0,5,3,6,21,21,6,30,0,0,0,0,0,6,4,10,5,0,1,3,1,2,4,8,1,5,1,11,11,27,24
Pembrokeshire 011D,W01000576,0,1,1,0,0,0,1,4,1,2,0,2,0,4,2,1,3,12,1,31,0,0,29,10,6,3,9,8,14,25,0,0,3,0,0,0,0,2,3,3,0,5,10,7,15,83,7,36,0,1,0,0,2,9,18,7,7,0,1,8,2,13,7,14,2,10,13,26,8,38,38
Pembrokeshire 011E,W01000615,0,0,0,2,0,0,0,3,0,0,1,0,0,5,4,0,0,2,0,17,0,0,10,4,5,2,0,4,12,13,1,0,0,2,0,0,0,6,0,5,0,2,12,1,10,21,14,43,0,3,0,0,1,7,9,9,7,1,2,3,1,6,3,11,2,10,5,25,8,29,30
Pembrokeshire 011F,W01000616,0,0,0,1,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0,18,0,0,8,1,2,0,0,4,9,5,0,0,2,2,0,1,0,0,0,2,0,4,2,4,9,6,12,48,1,1,0,0,2,7,8,8,2,0,2,3,1,4,0,14,0,4,2,25,6,24,26
Pembrokeshire 012A,W01000589,0,0,0,0,0,0,1,1,0,0,1,0,0,1,2,1,0,5,1,32,0,0,31,16,5,2,0,3,3,0,3,0,9,5,14,3,1,13,12,45,0,40,0,0,0,0,0,1,26,13,12,2,33,4,8,18,9,0,0,0,0,0,0,14,0,7,1,0,0,4,1
Pembrokeshire 012B,W01000590,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,11,2,29,0,0,16,1,12,7,0,4,0,2,1,0,7,6,3,2,0,16,12,35,1,22,1,0,0,2,0,2,5,18,7,1,29,7,7,12,6,0,0,0,1,1,1,21,0,10,2,0,1,1,1
Pembrokeshire 012C,W01000591,0,0,0,0,0,0,0,1,0,1,2,0,1,2,4,0,0,11,2,26,0,0,49,13,10,6,0,3,1,1,0,0,10,6,7,2,1,14,15,39,0,29,0,0,0,0,0,0,10,20,17,1,28,4,9,7,10,0,0,1,1,0,0,23,0,13,1,1,0,2,3
Pembrokeshire 012D,W01000592,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,1,8,1,26,1,0,33,13,6,2,0,1,2,1,1,0,14,7,6,2,0,14,9,45,3,37,0,0,0,1,0,0,19,12,13,9,46,8,10,7,2,0,0,2,0,0,1,20,0,4,2,0,0,3,1
Pembrokeshire 012E,W01000594,0,0,0,1,0,0,0,4,2,3,0,0,0,0,1,0,0,13,4,65,0,0,71,21,9,6,1,8,2,7,2,1,16,8,9,3,0,26,29,83,5,63,0,0,0,2,0,1,11,10,14,3,83,7,19,19,17,0,0,0,2,0,2,30,0,12,3,1,0,3,2
Pembrokeshire 013A,W01000600,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,5,1,22,0,0,14,3,3,1,0,9,5,2,0,0,4,0,0,0,0,7,7,6,1,10,0,1,0,4,0,1,1,2,0,0,4,75,66,60,35,2,3,3,10,2,6,56,1,24,18,4,2,10,8
